CASE_LBL,R1_Hon,R2_Hon,R3_Hon,R4_Hon,R5_Hon,R6_Hon,R7_Hon,Goal,R1_Dis,R2_Dis,R3_Dis,R4_Dis,R5_Dis,R6_Dis,R7_Dis,Avg_HonLikelihood,Avg_DisLikelihood,Diff_Likelihood
Hon_AvoidEmb,2,3,3,3,2,2,3,112,4,3,5,5,5,3,4,2.57142857142857,4.14285714285714,-1.57142857142857
Hon_DrawAtten,3,4,4,2,5,2,2,113,2,2,3,1,2,1,4,3.14285714285714,2.14285714285714,1
Hon_ExplMyself,2,2,2,1,5,1,4,114,2,3,5,4,5,3,2,2.42857142857143,3.42857142857143,-1
Hon_PresrvEng,2,3,2,1,2,1,3,115,3,3,4,4,5,3,4,2,3.71428571428571,-1.71428571428571
Hon_Strategy,2,1,2,2,2,1,2,116,3,1,3,2,5,2,4,1.71428571428571,2.85714285714286,-1.14285714285714
Hon_CoverUp,3,1,2,1,1,1,1,117,4,4,5,4,5,5,5,1.42857142857143,4.57142857142857,-3.14285714285714
Hon_AvoidPunish,2,4,2,2,3,2,3,118,4,4,5,5,5,5,4,2.57142857142857,4.57142857142857,-2
Hon_ProtectRel,3,4,4,3,5,5,1,119,3,4,3,5,5,3,3,3.57142857142857,3.71428571428571,-.142857142857143
Hon_PositvDir,3,3,3,2,3,3,2,120,3,2,4,2,4,2,4,2.71428571428571,3,-.285714285714286
Hon_AvoidVuln,2,2,1,1,1,3,2,121,4,4,5,5,5,3,5,1.71428571428571,4.42857142857143,-2.71428571428571
Hon_TrickSomeone,2,1,1,1,1,1,1,122,4,4,5,3,5,5,4,1.14285714285714,4.28571428571429,-3.14285714285714
Hon_EntertSelf,3,2,3,1,1,2,2,123,3,1,4,4,3,2,4,2,3,-1
Hon_BePolite,4,2,3,2,2,2,2,124,3,4,4,4,5,3,4,2.42857142857143,3.85714285714286,-1.42857142857143
Hon_PleaseOther,2,3,3,2,5,3,2,125,4,3,4,5,4,4,5,2.85714285714286,4.14285714285714,-1.28571428571429
Hon_GentleOther,2,3,3,2,3,2,2,126,3,3,5,4,5,4,3,2.42857142857143,3.85714285714286,-1.42857142857143
Hon_MakeFair,4,3,4,2,5,4,2,127,2,2,3,2,2,1,2,3.42857142857143,2,1.42857142857143
Hon_Autonomy,4,3,4,3,4,2,5,128,2,2,4,2,3,2,3,3.57142857142857,2.57142857142857,1
Hon_HurtReput,3,3,3,3,3,3,3,129,3,3,4,3,5,5,5,3,4,-1
Hon_KeepLieGo,1,1,1,1,1,1,1,130,5,4,4,4,5,5,5,1,4.57142857142857,-3.57142857142857
Hon_SeemSmart,3,3,3,2,4,2,3,131,3,3,5,5,5,2,4,2.85714285714286,3.85714285714286,-1
Hon_AvoidOtherDisap,2,3,3,2,3,4,2,132,4,4,5,5,5,4,4,2.71428571428571,4.42857142857143,-1.71428571428571
Hon_GetAct,2,4,3,2,3,3,2,133,4,3,4,3,5,3,4,2.71428571428571,3.71428571428571,-1
Hon_AvoidLose,3,3,3,2,3,3,3,134,4,3,5,4,5,4,3,2.85714285714286,4,-1.14285714285714
Hon_HowToAct,3,3,4,1,4,1,1,135,3,2,4,2,4,2,2,2.42857142857143,2.71428571428571,-.285714285714286
Hon_AvoidBad,2,2,2,2,1,2,3,136,4,4,5,4,5,5,4,2,4.42857142857143,-2.42857142857143
Honesty_137,2,3,5,3,5,5,3,137,4,2,2,5,3,2,2,3.71428571428571,2.85714285714286,.857142857142857
Hon_KeepSmooth,3,2,3,2,3,3,2,138,4,2,4,3,5,2,4,2.57142857142857,3.42857142857143,-.857142857142857
Hon_MakeLike,3,2,3,3,3,2,2,139,3,3,3,4,5,4,2,2.57142857142857,3.42857142857143,-.857142857142857
Hon_AvoidReje,2,2,2,1,3,2,2,140,4,2,5,5,4,4,4,2,4,-2
Hon_GetOtherDo,2,5,4,2,4,5,2,141,3,3,4,3,5,3,4,3.42857142857143,3.57142857142857,-.142857142857143
Hon_BeSeeBett,2,1,1,1,1,1,1,142,5,5,5,4,5,5,4,1.14285714285714,4.71428571428571,-3.57142857142857
Hon_SeemFriendly,2,4,3,2,3,2,2,143,4,2,3,5,5,2,3,2.57142857142857,3.42857142857143,-.857142857142857
